Timeslot,Trips,Passengers
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,3,33
7,8,455
8,7,501
9,7,571
10,6,302
11,5,204
12,5,195
13,6,190
14,5,187
15,5,176
16,5,204
17,7,259
18,6,314
19,7,338
20,4,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,3,33
7,8,455
8,7,501
9,7,571
10,6,302
11,5,204
12,5,195
13,6,190
14,5,187
15,5,176
16,5,204
17,7,259
18,6,314
19,7,338
20,4,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,3,33
7,8,455
8,7,501
9,7,571
10,6,302
11,5,204
12,5,195
13,6,190
14,5,187
15,5,176
16,5,204
17,7,259
18,6,314
19,7,338
20,4,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,3,33
7,8,455
8,7,501
9,7,571
10,6,302
11,5,204
12,5,195
13,6,190
14,5,187
15,5,176
16,5,204
17,7,259
18,6,314
19,7,338
20,4,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,3,33
7,8,455
8,7,501
9,7,571
10,6,302
11,5,204
12,5,195
13,6,190
14,5,187
15,5,176
16,5,204
17,7,259
18,6,314
19,7,338
20,4,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
6,1,33
7,6,455
8,5,501
9,5,571
10,4,302
11,3,204
12,3,195
13,4,190
14,3,187
15,3,176
16,3,204
17,5,259
18,4,314
19,5,338
20,2,153
6,3,33
7,8,455
8,7,501
9,7,571
10,6,302
11,5,204
12,5,195
13,6,190
14,5,187
15,5,176
16,5,204
17,7,259
18,6,314
19,7,338
20,4,153
6,1,33
7,5,455
8,4,501
9,4,571
10,2,302
11,2,204
12,3,195
13,2,190
14,2,187
15,2,176
16,4,204
17,3,259
18,4,314
19,4,338
20,1,153
6,2,33
7,7,455
8,6,501
9,5,571
10,4,302
11,4,204
12,5,195
13,3,190
14,3,187
15,3,176
16,5,204
17,4,259
18,5,314
19,6,338
20,3,153
